id,lat,lon,placeCount,place,address
280,15.16098083727969,102.77684317441776,2,school|establishment|point_of_interest,"Unnamed Road, Tambon Non Tun, Amphoe Chum Phuang, Chang Wat Nakhon Ratchasima 30270, Thailand"
282,15.16098083727969,103.08434075299431,2,school|establishment|point_of_interest,"Unnamed Road, Tambon Hin Lek Fai, Amphoe Khu Mueang, Chang Wat Buri Ram 31190, Thailand"
283,15.16098083727969,103.11229507831945,3,school|establishment|point_of_interest,"Unnamed Road, Tambon Tum Yai, Amphoe Khu Mueang, Chang Wat Buri Ram 31190, Thailand"
284,15.16098083727969,103.22411237962001,2,furniture_store|establishment|home_goods_store|store|point_of_interest,"Unnamed Road, Tambon Ron Thong, Amphoe Satuek, Chang Wat Buri Ram 31150, Thailand"
287,15.16098083727969,103.36388400624571,4,school|establishment|point_of_interest,"Unnamed Road, Tambon Chum Saeng, Amphoe Satuek, Chang Wat Buri Ram 31150, Thailand"
288,15.16098083727969,103.47570130754627,9,establishment|point_of_interest|hospital,"Unnamed Road, Tambon Mueang Ling, Amphoe Chom Phra, Chang Wat Surin 32180, Thailand"
291,15.134001189904708,102.58114328305896,2,school|establishment|point_of_interest,"Unnamed Road, Tambon Lung Takhian, Amphoe Huai Thalaeng, Chang Wat Nakhon Ratchasima 30240, Thailand"
292,15.134001189904708,102.66499555947462,6,school|establishment|point_of_interest,"Unnamed Road, Tambon Lung Takhian, Amphoe Huai Thalaeng, Chang Wat Nakhon Ratchasima 30240, Thailand"
295,15.134001189904708,103.08425694155335,6,school|establishment|point_of_interest,"Unnamed Road, Tambon Thalung Lek, Amphoe Mueang Buri Ram, Chang Wat Buri Ram 31000, Thailand"
296,15.134001189904708,103.14015845916379,1,school|establishment|point_of_interest,"Moo.6, Tambon Ban Dan, Amphoe Ban Dan, Buriram, 31000, Thailand"
297,15.134001189904708,103.27991225318988,12,school|establishment|point_of_interest,"Unnamed Road, Tambon Nong Yai, Amphoe Satuek, Chang Wat Buri Ram 31150, Thailand"
298,15.134001189904708,103.36376452960553,9,establishment|point_of_interest|hospital,"Unnamed Road, Tambon Chum Saeng, Amphoe Satuek, Chang Wat Buri Ram 31150, Thailand"
300,15.107021542529525,102.66496530623192,3,school|establishment|point_of_interest,"Unnamed Road, Tambon Lung Takhian, Amphoe Huai Thalaeng, Chang Wat Nakhon Ratchasima 30240, Thailand"
